year,dispnum,incidnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,onset,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1996,4148,4148001,South Georgia Island,South Georgia Island,-36.5879,-54.4296,2,1,latlong.net,Island,,207848,South of Georgia Islands in South Atlantic Ocean.,south georgia island,-54.25,-36.75,3
1996,4149,4149001,Columbus Channel,Columbus Channel,-61.5,10,3,1,latlong.net,Channel,,114994,"Columbus Channel, in the Caribbean Sea between TRI and VEN.",columbus channel,10,-61.5,4
1996,4166,4166001,Bakassi Peninsula (Cameroon-Nigeria Border),Midpoint of shared (territorial water) border,8.41024,4.53735,5,1,ArcGIS and Marine Regions,Point along a line,,122734,Bakassi Peninsula islands on Nigeria-Cameroun border,bakassi point,4.5,8.7,3
1996,4166,4166002,Bakassi Peninsula (Cameroon-Nigeria Border),Midpoint of shared (territorial water) border,8.41024,4.53735,5,0,ArcGIS and Marine Regions,Point along a line,,122734,Bakassi Peninsula islands on Nigeria-Cameroun border,bakassi point,4.5,8.7,3
1996,4166,4166003,Bakassi Peninsula (Cameroon-Nigeria Border),Midpoint of shared (territorial water) border,8.41024,4.53735,5,0,ArcGIS and Marine Regions,Point along a line,,122734,Bakassi Peninsula,bakassi point,4.5,8.7,3
1996,4166,4166004,Cameroon-Nigeria Border,Midpoint of shared (national) border,12.2051,7.99518,5,0,ArcGIS and cShapes,Point along a line,,118422,Nigeria-Cameroun border area,ikang,4.78333,8.51667,4
1996,4170,4170001,DRC-Uganda (Arua [ADM1] and Nebi [ADM1]) Border,Midpoint of shared (subnational) border,30.7799,2.61734,5,1,ArcGIS and GADM,Point along a line,,125579,"The northwestern part of the Zaire-Uganda border, near Arua and Nebbi.",nebbi,2.48333,31.0833,3
1996,4170,4170002,Uganda-Zaire Border,Midpoint of shared (national) border,30.5205,1.28653,5,0,ArcGIS and cShapes,Point along a line,,127739,"Eastern Zaire, near the Ugandan border. Specifically the area around the border",kasindi,-1.65,28.0833,3
1996,4173,4173001,Armenia (Armavir [ADM1])-Turkey Border,Midpoint of shared (subnational) border,43.8654,40.0356,5,1,ArcGIS and GADM,Point along a line,,71525,"Outpost of Oktemberyanskiy, border guard unit, ARM-TUR border",oktemberyanskiy,40.0833,-44,1
1996,4182,4182082,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,southern Lebanon,sur,33.2667,35.2,3
1996,4182,4182083,Lebanon (South [ADM1]),Centroid of ADM1,35.3689,33.3563,4,0,ArcGIS and GADM,ADM1,Dual event; Both in same ADM1,81668,"Tyre, southern Lebanon",tyre,33.2667,35.1833,1
1996,4182,4182084,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,southern Lebanon,sur,33.2667,35.2,3
1996,4182,4182085,Lebanon (Nabatieh [ADM1] and South [ADM1]),Centroid of > ADM1,35.4491,33.3239,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,81668,"Iqlim Al-Tuffah, southern Lebanon",nabatiyah,33.3833,35.4833,1
1996,4182,4182086,Lebanon (South [ADM1]),Centroid of ADM1,35.3689,33.3563,4,0,ArcGIS and GADM,ADM1,Dual event; Both in same ADM1,81668,"Tyre, southern Lebanon",tyre,33.2667,35.1833,1
1996,4182,4182087,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,southern Lebanon,sur,33.2667,35.2,3
1996,4182,4182088,Lebanon (South [ADM1]),Centroid of ADM1,35.3689,33.3563,4,0,ArcGIS and GADM,ADM1,Dual event; Both in same ADM1,81668,"Tyre, southern Lebanon",tyre,33.2667,35.1833,1
1996,4182,4182089,Lebanon (Nabatieh [ADM1] and South [ADM1]),Centroid of > ADM1,35.4491,33.3239,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,81668,"Nabatiyah and Tyre, southern Lebanon",nabatiyah,33.3833,35.4833,1
1996,4182,4182090,Lebanon (Nabatieh [ADM1] and South [ADM1]),Centroid of > ADM1,35.4491,33.3239,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,81668,"Nabatiyah and Tyre, southern Lebanon",nabatiyah,33.3833,35.4833,1
1996,4182,4182091,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,southern Lebanon,sur,33.2667,35.2,3
1996,4182,4182092,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,Southern LEB,sur,33.2667,35.2,3
1996,4182,4182093,Lebanon (Beqaa [ADM1] and Mount Lebanon [ADM1]),Centroid of > ADM1,35.7575,33.7862,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,80949,"Mashgharah, Ayn Al-Tinah and Maydun in southern Lebanon",maydun,33.4667,35.6333,1
1996,4182,4182094,Lebanon (Nabatieh [ADM1] and South [ADM1]),Centroid of > ADM1,35.4491,33.3239,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,81668,Tyre and Iqlim Al-Tuffah in southern Lebanon,tyre,33.2667,35.1833,1
1996,4182,4182095,Lebanon (Beqaa [ADM1] and Mount Lebanon [ADM1]),Centroid of > ADM1,35.7575,33.7862,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,80949,Mashgharah and Ayn Al-Tinah hills in southern Lebanon,mashghara,33.5167,35.65,1
1996,4182,4182096,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,"Sidon, southern Lebanon",sidon,33.55,35.3667,1
1996,4182,4182097,Israel-Lebanon Border,Midpoint of shared (national) border,35.5057,33.1118,5,0,ArcGIS and cShapes,Point along a line,,81669,Frontline positions in the ISR-LEB security zone,sur,33.2667,35.2,4
1996,4182,4182098,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,southern Lebanon,sur,33.2667,35.2,3
1996,4182,4182099,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,South Lebanon,sur,33.2667,35.2,3
1996,4182,4182100,"Tyre, Lebanon","Tyre, Lebanon",35.2038,33.2705,1,0,latlong.net,Precise location text,,81668,Tyre,tyre,33.2667,35.1833,1
1996,4182,4182101,"Beirut, Lebanon","Beirut, Lebanon",35.5018,33.8938,2,0,latlong.net,Near,,80949,"South of Beirut, LEB",beirut,33.8667,35.5,2
1996,4182,4182102,"Beirut, Lebanon","Beirut, Lebanon",35.5018,33.8938,2,0,latlong.net,Near,,80949,"South of Beirut, LEB",beirut,33.8667,35.5,2
1996,4182,4182103,Lebanon,Centroid of ADM0,35.888,33.9203,6,0,ArcGIS and cShapes,State,Dual event; ADM1s not contiguous,80949,"Beirut, Tyre, and Sidon",tyre,33.2667,35.1833,1
1996,4182,4182104,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182105,Lebanon,Centroid of ADM0,35.888,33.9203,6,0,ArcGIS and cShapes,State,Dual event; ADM1s not contiguous,80949,"Jubb Jannin, Beirut, Nabatiyah, Sidon",jubb jannin,33.6167,35.7833,1
1996,4182,4182106,Lebanon (Beqaa [ADM1] and South [ADM1]),Centroid of > ADM1,35.6628,33.5302,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,80949,"Suhmur and its outskirts, south Lebanon",suhmur,33.5167,35.6833,1
1996,4182,4182107,Lebanon (South [ADM1]),Centroid of ADM1,35.3689,33.3563,4,0,ArcGIS and GADM,ADM1,Dual event; Both in same ADM1,81668,"Tyre, southern Lebanon",tyre,33.2667,35.1833,1
1996,4182,4182108,"Baalbek, Lebanon","Baalbek, Lebanon",36.211,34.0047,1,0,latlong.net,Precise location text,,80230,Balabakk,balabakk,34,36.2,1
1996,4182,4182109,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182110,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,South Lebanon,sur,33.2667,35.2,3
1996,4182,4182111,Nabatiyah,Nabatiyah,35.4838,33.3772,1,0,latlong.net,Precise location text,,81668,Nabatiyah,nabatiyah,33.3833,35.4833,1
1996,4182,4182112,"Kafr Tibnit, Lebanon","Kafr Tibnit, Lebanon",35.5135,33.3533,2,0,latlong.net,Near,,81669,Outskirts of Kafr Tibnit in south Lebanon,kafr tibnit,33.35,35.5,2
1996,4182,4182113,Lebanon (Nabatieh [ADM1]),Centroid of ADM1,35.5162,33.2967,4,0,ArcGIS and GADM,ADM1,,81669,Iqlim al-Tuffah,nabatiyah,33.3833,35.4833,2
1996,4182,4182114,Lebanon (Nabatieh [ADM1]),Centroid of ADM1,35.5162,33.2967,4,0,ArcGIS and GADM,ADM1,,81669,Iqlim al-Tuffah,nabatiyah,33.3833,35.4833,2
1996,4182,4182115,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,South Lebanon,sur,33.2667,35.2,3
1996,4182,4182116,Lebanon,Centroid of ADM0,35.888,33.9203,6,0,ArcGIS and cShapes,State,Dual event; ADM1s not contiguous,80949,"Outskirts of Frun, Ghanduriyah, Tulin, and Tallat al-Kayyal in Baalbek in south",frun,33.2833,35.4167,2
1996,4182,4182117,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,South Lebanon,sur,33.2667,35.2,3
1996,4182,4182118,Lebanon (Nabatieh [ADM1]),Centroid of ADM1,35.5162,33.2967,4,0,ArcGIS and GADM,ADM1,,81669,Iqlim al-Tuffah,nabatiyah,33.3833,35.4833,2
1996,4182,4182119,"Khiyam, Lebanon","Khiyam, Lebanon",35.6148,33.3294,1,0,latlong.net,Precise location text,,81669,"The town of Khiyam inside Israel's self-proclaimed security zone, south Lebanon",khiyam,33.5667,35.7167,1
1996,4182,4182120,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,South Lebanon,sur,33.2667,35.2,3
1996,4182,4182121,Lebanon (Mount Lebanon [ADM1] and South [ADM1]),Centroid of > ADM1,35.5887,33.7201,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,80949,"Tyre, Damur",tyre,33.2667,35.1833,1
1996,4182,4182122,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,South Lebanon,sur,33.2667,35.2,3
1996,4182,4182123,Lebanon (Nabatieh [ADM1] and South [ADM1]),Centroid of > ADM1,35.4491,33.3239,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,81668,"Nabatiyah, Sidon",nabatiyah,33.3833,35.4833,1
1996,4182,4182124,Lebanon (Nabatieh [ADM1]),Centroid of ADM1,35.5162,33.2967,4,0,ArcGIS and GADM,ADM1,,81669,Iqlim al-Tuffah,nabatiyah,33.3833,35.4833,2
1996,4182,4182125,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182126,Lebanon (Nabatieh [ADM1]),Centroid of ADM1,35.5162,33.2967,4,0,ArcGIS and GADM,ADM1,,81669,Iqlim al-Tuffah,nabatiyah,33.3833,35.4833,2
1996,4182,4182127,"Tyre, Lebanon","Tyre, Lebanon",35.2038,33.2705,1,0,latlong.net,Precise location text,,81668,Tyre,tyre,33.2667,35.1833,1
1996,4182,4182128,Lebanon (Nabatieh [ADM1]),Centroid of ADM1,35.5162,33.2967,4,0,ArcGIS and GADM,ADM1,,81669,Iqlim al-Tuffah,nabatiyah,33.3833,35.4833,2
1996,4182,4182129,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182130,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182131,"Qantarah, Lebanon","Qantarah, Lebanon",35.4637,33.2736,1,0,latlong.net,Precise location text,,81668,Qantarah in the Marj Uyun district in south Lebanon,qantarah,34.4167,36.3,1
1996,4182,4182132,Lebanon (Nabatieh [ADM1] and South [ADM1]),Centroid of > ADM1,35.4491,33.3239,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,81668,Nabariyah & Sidon,nabatiyah,33.3833,35.4833,1
1996,4182,4182133,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182134,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,South Lebanon,sur,33.2667,35.2,3
1996,4182,4182135,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182136,"Mount Hermon, Lebanon","Mount Hermon, Lebanon",35.857,33.4162,2,0,latlong.net,Near,,81669,"Near Mount Hermon, southern LEB",mount hermon,33.4333,35.85,2
1996,4182,4182137,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182138,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182139,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182140,"Baalbek, Lebanon","Baalbek, Lebanon",36.211,34.0047,1,0,latlong.net,Precise location text,,80230,"Baalbek in Bekaa Valley, eastern Lebanon",baalbek,34,36.2167,1
1996,4182,4182141,"Baalbek, Lebanon","Baalbek, Lebanon",36.211,34.0047,1,0,latlong.net,Precise location text,,80230,"Baalbek in Bekka Valley, eastern Lebanon",baalbek,34,36.2167,1
1996,4182,4182142,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,south Lebanon,sur,33.2667,35.2,3
1996,4182,4182143,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182144,"Bint Jubayl, Lebanon","Bint Jubayl, Lebanon",35.4335,33.1205,1,0,latlong.net,Precise location text,,81668,Bint Jubayl,bint jubayl,33.1167,35.4167,1
1996,4182,4182145,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,south Lebanon,sur,33.2667,35.2,3
1996,4182,4182146,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182147,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182148,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182149,"Beirut, Lebanon","Beirut, Lebanon",35.5018,33.8938,1,0,latlong.net,Precise location text,,80949,Beirut,beirut,33.8667,35.5,1
1996,4182,4182150,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182151,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,southern Lebanon,sur,33.2667,35.2,3
1996,4182,4182152,Lebanon,Centroid of ADM0,35.888,33.9203,6,0,ArcGIS and cShapes,State,,80949,Sidon and Baalbek,sidon,33.55,35.3667,1
1996,4182,4182153,Nabatiyah,Nabatiyah,35.4838,33.3772,1,0,latlong.net,Precise location text,,81668,Nabatiyah,nabatiyah,33.3833,35.4833,1
1996,4182,4182154,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182155,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,southern Lebanon,sur,33.2667,35.2,3
1996,4182,4182156,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182157,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182158,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182159,Lebanon (Nabatieh [ADM1] and South [ADM1]),Centroid of > ADM1,35.4491,33.3239,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,81668,Nabatiyah and Sidon,nabatiyah,33.3833,35.4833,1
1996,4182,4182160,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182161,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182162,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182163,Lebanon (Nabatieh [ADM1]),Centroid of ADM1,35.5162,33.2967,4,0,ArcGIS and GADM,ADM1,Dual event; Both in same ADM1,81669,Nabatiyah &Iqlim al-Tuffah,nabatiyah,33.3833,35.4833,1
1996,4182,4182164,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182165,"Arnoun, Lebanon","Arnoun, Lebanon",35.5259,33.3315,1,0,latlong.net,Precise location text,,81669,Arnun,arnoun,33.3167,35.5167,1
1996,4182,4182166,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,South Lebanon,sur,33.2667,35.2,3
1996,4182,4182167,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182168,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182169,Lebanon (Nabatieh [ADM1]),Centroid of ADM1,35.5162,33.2967,4,0,ArcGIS and GADM,ADM1,Dual event; Both in same ADM1,81669,Nabatiyah & Iqlim al-Tuffah,nabatiyah,33.3833,35.4833,1
1996,4182,4182170,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,south Lebanon,sur,33.2667,35.2,3
1996,4182,4182171,Lebanon (Nabatieh [ADM1] and South [ADM1]),Centroid of > ADM1,35.4491,33.3239,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,81668,Sidon&Nabariyah,sidon,33.55,35.3667,1
1996,4182,4182172,Lebanon (Beqaa [ADM1] and South [ADM1]),Centroid of > ADM1,35.6628,33.5302,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,80949,Bekka&Sidon,sidon,33.55,35.3667,1
1996,4182,4182173,Lebanon (Nabatieh [ADM1] and South [ADM1]),Centroid of > ADM1,35.4491,33.3239,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,81668,"Sidon, Iqlim al-Tuffah",sidon,33.55,35.3667,1
1996,4182,4182174,Lebanon (Nabatieh [ADM1]),Centroid of ADM1,35.5162,33.2967,4,0,ArcGIS and GADM,ADM1,,81669,Iqlim al-Tuffah,nabatiyah,33.3833,35.4833,2
1996,4182,4182175,Lebanon (Nabatieh [ADM1]),Centroid of ADM1,35.5162,33.2967,4,0,ArcGIS and GADM,ADM1,,81669,Iqlim al-Tuffah,nabatiyah,33.3833,35.4833,2
1996,4182,4182176,Lebanon (Nabatieh [ADM1] and South [ADM1]),Centroid of > ADM1,35.4491,33.3239,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,81668,Sidon and Iqlim Al-Tuffah,sidon,33.55,35.3667,1
1996,4182,4182177,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182178,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,south Lebanon,sur,33.2667,35.2,3
1996,4182,4182179,Nabatiyah,Nabatiyah,35.4838,33.3772,1,0,latlong.net,Precise location text,,81668,Nabatiyah,nabatiyah,33.3833,35.4833,1
1996,4182,4182180,"Tyre, Lebanon","Tyre, Lebanon",35.2038,33.2705,1,0,latlong.net,Precise location text,,81668,Tyre,tyre,33.2667,35.1833,1
1996,4182,4182181,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,south Lebanon,sur,33.2667,35.2,3
1996,4182,4182182,Lebanon (South [ADM1]),Centroid of ADM1,35.3689,33.3563,4,0,ArcGIS and GADM,ADM1,Dual event; Both in same ADM1,81668,Sidon and Tyre,sidon,33.55,35.3667,1
1996,4182,4182183,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,southern Lebanon,sur,33.2667,35.2,3
1996,4182,4182184,Lebanon (Nabatieh [ADM1] and South [ADM1]),Centroid of > ADM1,35.4491,33.3239,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,81668,Sidon and Nabatiyah,sidon,33.55,35.3667,1
1996,4182,4182185,Lebanon (South [ADM1]),Centroid of ADM1,35.3689,33.3563,4,0,ArcGIS and GADM,ADM1,Dual event; Both in same ADM1,81668,Tyre and Sidon,tyre,33.2667,35.1833,1
1996,4182,4182186,Lebanon (Nabatieh [ADM1] and South [ADM1]),Centroid of > ADM1,35.4491,33.3239,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,81668,"Nabatiyah, Sidon and Tyre",tyre,33.2667,35.1833,1
1996,4182,4182187,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182188,Lebanon (Baalbek [ADM1] and Beqaa [ADM1]),Centroid of > ADM1,36.1329,33.9871,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,80950,Bekka and Baalbek,baalbek,34,36.2167,1
1996,4182,4182189,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,south Lebanon,sur,33.2667,35.2,3
1996,4182,4182190,Nabatiyah,Nabatiyah,35.4838,33.3772,1,0,latlong.net,Precise location text,,81668,Nabatiyah,nabatiyah,33.3833,35.4833,1
1996,4182,4182191,Nabatiyah,Nabatiyah,35.4838,33.3772,1,0,latlong.net,Precise location text,,81668,Nabatiyah,nabatiyah,33.3833,35.4833,1
1996,4182,4182192,Lebanon (South [ADM1]),Centroid of ADM1,35.3689,33.3563,4,0,ArcGIS and GADM,ADM1,Dual event; Both in same ADM1,81668,Sidon and Tyre,sidon,33.55,35.3667,1
1996,4182,4182193,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182194,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,southern Lebanon,sur,33.2667,35.2,3
1996,4182,4182195,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182196,Lebanon (Nabatieh [ADM1] and South [ADM1]),Centroid of > ADM1,35.4491,33.3239,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,81668,"Nabatiyah, Sidon and Tyre",sidon,33.55,35.3667,1
1996,4182,4182197,Lebanon (Nabatieh [ADM1] and South [ADM1]),Centroid of > ADM1,35.4491,33.3239,5,0,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,81668,"Iqlim Al-Tuffah, Sidon and Tyre",sidon,33.55,35.3667,1
1996,4182,4182198,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182199,"Sidon, Lebanon","Sidon, Lebanon",35.3729,33.5571,1,0,latlong.net,Precise location text,,80948,Sidon,sidon,33.55,35.3667,1
1996,4182,4182200,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,south Lebanon,sur,33.2667,35.2,3
1996,4182,4182201,Lebanon (Nabatieh [ADM1]),Centroid of ADM1,35.5162,33.2967,4,0,ArcGIS and GADM,ADM1,Dual event; Both in same ADM1,81669,Iqlim al-Tuffah and Nabatiyah,nabatiyah,33.3833,35.4833,1
1996,4182,4182202,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,0,ArcGIS and GADM,> ADM1,,80949,Southern Lebanon and Western Bekaa,bekaa,34,36.1667,3
1996,4190,4190001,Syria-Turkey Border (Coastal),Intersection of shared (national) border at coast,35.9224,35.927,5,1,ArcGIS and cShapes,Point along a line,,78069,Turkish-Syrian border and the Syrian coast,qazliyah,35.85,35.85,4
1996,4190,4190002,Syria-Turkey Border,Midpoint of shared (national) border,38.6869,36.7241,5,0,ArcGIS and cShapes,Point along a line,,76635,Turkish-Syrian border,akcalale,36.7167,38.95,4
1996,4190,4190003,Syria-Turkey Border,Midpoint of shared (national) border,38.6869,36.7241,5,0,ArcGIS and cShapes,Point along a line,,76635,Turkish-Syrian border,akcalale,36.7167,38.95,4
1996,4190,4190004,Unspecified,,,,-99,0,,Location unclear or unspecified,,,Unclear,,,,7
1996,4191,4191001,"Orumiyeh, Iran","Orumiyeh, Iran",45.0786,37.5498,2,1,latlong.net,Near,,75128,"Northwestern region of Silvana in Iran, 25km. west of Orumiyeh",azarbayjan e sharqi,37.4667,45.5,3
1996,4192,4192001,"Koisanjaq, Iraq","Koisanjaq, Iraq",44.6199,36.0751,1,1,latlong.net,Precise location text,,77287,"Koisanjaq (Koisijak), town in Suleymanieh region of northern Iraq",koisanjaq,36.0833,44.6167,1
